id,review,class
16132,My only problem with Pinterest is I lose track of time when I  m on it.,problem discovery
16135,It would be nice if it would let you start typing the name of the board and it would pull it up.,feature request
16141,Thank you for adding more secret boards!,information giving
16154,"I have lots of recipes on here and when I  m trying to find that recipe I made a year ago so I can make dinner, it  s frustrating that I can  t search for it and find it quickly.",information giving
16156,Some minor problems happens often but still love this app!,problem discovery
16157,You can use it for anything and it  s so easy to use.,information giving
16164,"If there is a way to do this, it isn  t intuitive.",problem discovery
16164,": / I  m kinda technologically challenged, I admit, but ideally the app should be programmed and designed with people like me in mind!",feature request
16178,It  s always up to date and never crashes!,information giving
16183,The only issue is that the search function for your own pins is not very accurate.,problem discovery
16185,"Its good but it can use a bit of an improvement, like sometimes the pictures just doesnt show and it takes a while for it to get back but that would be it ,",problem discovery
16189,"Works smoothly and easily, every time I use the app...can  t say that about all apps.",information giving
16190,"Love this app, and it  s not crashing for me anymore!!",information giving
16195,I wish there was a way to put my boards in alphabetical order without moving them all individually.,feature request
16199,I love that you are now able to pin from your clipboard!,information giving
16206,I like everything about this app except the fact that I can  t pin anything from my iPhone!,information giving
16215,My only complaint would be that if a pin is reported as a possible threat why isn  t it removed?,information seeking
16221,Haven  t had any problems on iPhone 5!,information giving
16227,When I wake up in the middle of the night I just grab my phone and start pinning!,information giving
16234,Please fix this problem and let us pin more than that.,problem discovery
16240,The app on my iPad regularly crashes.,problem discovery
16244,I can be bombarded with ads anywhere   I don  t need to sit and browse through them.,problem discovery
16245,I  ve never had an issue with it crashing.,information giving
16254,My only problem with it is the fact I say just 2 more minutes and they turn into hours!,information giving
16256,"However, it has crashed a couple of times recently on the iPad.",problem discovery
16262,I might use it 50 times a day just for home made goodies alone.,information giving
16274,\n Absolutely HATE the new way they list the categories with a picture....please go back to the old list...or let us choose which we  d like to use.,information giving
16281,They updated the app and it is a lot better.,information giving
16284,"Luckily I don  t have the crashing issue or I would probably have to cry, lol.",information giving
16284,I could not tell you how many fun ideas I have tried and loved because of Pinterest.,information giving
16298,I think it  s much easier to pin things on the app than it is to pin them on the website.,information giving
16317,I love looking at wedding stuff to help me plan my upcoming wedding.,information giving
16332,"I like pinterest a lot, but it really needs to be managed better.",feature request
16332,Adding 12/24/13  do not like updated fragmented boards.,information giving
16343,Use it just about everyday.,information giving
16344,"Frequent app crashes on my iPad, please fix this bug!",problem discovery
16349,"Pinterest is my go to when I need an idea for anything (hair styles, crafting, cooking, whatever!)",information giving
16354,"\n\n~update for new version~\n\nI preferred the last layout and it STILL crashes when the orientation changes (and at random, too).",problem discovery
16354,Why put the effort into a new layout and not fix major bugs?,problem discovery
16356,I feel that they need to remove them.,feature request
16361,Will think of other improvements that may be needed when I think of them.,information giving
16378,Please fix the bugs!!,problem discovery
16382,"Does the job you need it for but occasional crashes (I use it daily and it probably crashes once a week) can be a nuisance, but just briefly.",problem discovery
16389,"Will,lock up,and crash often.",problem discovery
16391,"Sha  chey Renee ,  This new update crashes when I click on images and I can  t see my followers and who  s following me please change this ,",problem discovery
16396,I would have given it 5 stars except it crashes for no reason &amp; whatever you were looking at is lost.,problem discovery
16396,Why was this feature removed?,information seeking
16397,Please fix this soon!!,problem discovery
16398,"I want to change the covers on my boards, but you can  t do that in this update, please fix it or if you got rid of it, please bring it back!",problem discovery
16402,"However, in the last update something happened and now the app crashes constantly and when I can get in, all my pictures are gone.",problem discovery
16402,Please fix this soon!!,problem discovery
16409,The only thing is it crashes a lot!,problem discovery
16413,"HomelessDragon ,  Says I need to grant access to log in via Facebook.",information giving
16421,I find it very annoying that Pinterest keeps crashing literally every few minutes...didn  t have this problem before.,problem discovery
16423,"It will work fine sometimes, but since the new update if I leave and come back to the app the images won  t show up.",problem discovery
16425,Please change it back to how it was before.,feature request
16427,"I  ve seen many people have this issue, and currently mine takes up 1.5 gb of my memory because it saves every single photo u pin or look at in the cache.",problem discovery
16428,Never had an issue with it.,information giving
16429,Very annoyed that I can  t delete pins from notifications tab.,feature request
16443,"Whether I need some inspiration in planning a birthday party, motivation to work out, or outfit ideas, Pinterest is my first stop!",information giving
16446,It is the one if the best apps ever created and is very useful and fun to look at.,information giving
16446,It  s cool how you can save the things you like as well.,information giving
16446,"\n   \n However, I don  t know if there is a way to contact Pinterest in order to suggest ideas for the app  s improvement.",information seeking
16446,\n I would like to suggest the idea that Pinterest create folders for our boards.,feature request
16452,I think we should get more.,feature request
16454,Now I have to scroll through all of them instead of just touching a letter to find the board.,problem discovery
16456,"I just love this app ,",information giving
16473,It is great to be able to see the details I need without wasting paper or taking up a lot of space on my small table.,information giving
16477,"My iPad no longer crashes, so I  m a happy camper about that.",information giving
16480,Please undo this terrible update!!!!,problem discovery
16490,"While aesthetically better looking, it does not work well.",problem discovery
16492,The new updates are causing problems...first it was crashing my iPad almost every day.,problem discovery
16492,"Now, it won  t load correctly (pictures missing) and my boards are missing cover pics, which I can  t even edit because there  s no option to change the picture anymore.",problem discovery
16496,"Smash lover ,  Pinterest, is like a social media drug once you have a little you need a lot!!!!!",information giving
16497,"Bdmama13 ,  I love the app but I can  t pin from etsy or other websites with the Pinterest button on the iPad mini.",problem discovery
16505,Wouldn  t let me update the app.,problem discovery
16507,Since update can  t login with my Fb acct!,problem discovery
16509,"The app was great, please fix!",information giving
16510,I want to know if anybody is having the problem about an update on Pinterest!,information seeking
16510,I need my App back!!!,information giving
16511,When I try to update it says that the app is no longer available.,problem discovery
16513,"I cant get the app it says its no longer available ,",problem discovery
16514,Trying to update and keeps saying the item  I  m trying to purchase is not available.,problem discovery
16514,"Um I  m not trying to purchase I  m trying to update please fix ASAP now it  s saying can  t connect to iTunes  I  m getting frustrated ,",problem discovery
16516,"I uninstalled it because when I tried to update it said What you  ve tried to buy is no longer available.""""",problem discovery
16516,Now I can  t reinstall.,problem discovery
16517,I was trying to update my phone but it  s telling me that Pinterest is no longer available.,problem discovery
16519,When the update came I tried to update it but it said that It wouldn  t let me.,problem discovery
16520,I love Pinterest and always wished there was some way to go easily from pin to pin on a board or category.,information giving
16520,I was excited to see that they added the swiping feature in the latest update.,information giving
16521,Tried to update this app (the update is for bug fixes) and it tells me the item I  m trying to buy is no longer available!!!,problem discovery
16522,Now it says not available to purchase.,problem discovery
16523,For some reason it  s not letting me update &amp; 'this update is no longer available' and then it deleted my app,problem discovery
16525,"So, I tried uninstalling and reinstalling it, but now it won  t let me download the app.",problem discovery
16525,It says 'The item you tried to buy is no longer available.',problem discovery
16527,"grlnxtdr2u978 ,  My Pinterest app is saying it needs an update but I am getting this message when I choose update.",information giving
16529,Can I not download the app?,information seeking
16533,It says it  s no longer available!,information giving
16545,What happened?,information seeking
16545,What happened?,information seeking
16548,"magirlokmynameisnicky ,  It won  t let me create an account at all I think it is a bug or something.",problem discovery
16550,What is the problem since the update?,information seeking
16554,Of course I adore Pinterest but the app always has bugs and the last update has made Pinterest completely unusable.,problem discovery
16554,I need my Pinterest!!!,information giving
16558,I can  t even open the app after it  s latest update!,problem discovery
16560,"The only thing wrong is when I go to repin something, I go to write a description and click on the box but it crashes.",problem discovery
16561,I cannot access my notifications anymore and when I try to change captions I can  t. Why can  t I post comments anymore?!?!?!?!,problem discovery
16573,I love love Pintrest but hate that it sometimes crashes since iOS 7 has come out never had that problem before but for that issue a great app.,problem discovery
16582,You just put your finger on the pin picture and instantly you have options that POP up.,information giving
16584,Do not like the new update.,information giving
16585,"Works great and I  ve nvr had a problem with it or gotten a bad idea off Pinterest ,",information giving
16587,The only issue I have is that it  s sensitive.,problem discovery
16588,Other than after I updated it it crashes every other time I use it!,problem discovery
16589,"The only problem is when I get on, I don  t want to stop!",problem discovery
16591,"I can look at pins, but I can  t do much else for the last two days.",problem discovery
16591,"The app shuts down, won  t load some pins, and I can  t edit pins.",problem discovery
16598,It was perfect before I updated it 2 minutes ago.,problem discovery
16606,"Love it because it is more portable than my computer so I can use it working out or cooking in the kitchen ,",information giving
16611,It  s like 3/4 of them are missing.,problem discovery
16613,"With the updates, you forgot to put back to edit board cover for iPad users!!",problem discovery
16616,Pinterest is the best tool for fashion designers who needs to draw inspirations from different culture and historical era.,information giving
16619,"Can  t view pins, all notifications have disappeared, crashes constantly.",problem discovery
16634,"\nWish i could have more than 3 secret boards, please add the feature.",feature request
16635,"Online hoarding, what could be better?",information giving
16645,Please fix this bug problem Thank you.,problem discovery
16647,Way to fail Pinterest.,problem discovery
16657,This App as created an addition for Pinterest that I didn  t have before.,information giving
16684,"the app is amazing in my iphone but when I use it on my computer its annoying when I have to pin because it isnt fast to do it so I dont like in my computer I just rather to use it on my iphone, but besides that I just love it!!!!",information giving
16695,I can  t live without it!!,information giving
16698,I liked having the letters on the side so I didn  t have to roll through my entire list of boards to pin something.,feature request
16702,Please find a way to sort the DIY and Etsy stuff apart from each other  it  s frustrating to click on a project only to find you  ve been diverted to an Etsy store.,feature request
16709,"When you need any sort of idea, all you have to do is check Pinterest.",information giving
16711,"I absolutely recommend Pinterest, although it is addicting!",information giving
16713,If you use Pinterest you need this app.,information giving
16729,Sometime I can  t click to go to websites but overall good app.,problem discovery
16743,I still feel all these larger companies should have the email synch up with my app so when I get an alert and click on the email it should go to my app not the web page.,feature request
16745,Now however I just like it  they decided to change the entire way you pin the look of everything and made all the type small and not as colorful and pleading to the eye.,information giving
16749,I would never be able to see so many of the wonderful things the world has to offer if not for Pinterest!,information giving
16750,Love using Pinterest to research all kinds of things and usually find info more appropriate for what I want to know then on other search engines!!,information giving
16757,However it constantly crashes and freezes!!!!!,problem discovery
16757,Love using the app but very very annoying they need to fix all the glitches !!!!!,problem discovery
16768,I love that if I need an idea for a craft or have a stain on my carpet I can find ideas or solution for just about everything.,information giving
16775,I learn how to do so many things from Pinterest.,information giving
16775,Learned how to cut my own hair.,information giving
16778,I don  t know why some people put one star but they made a mistake!,information giving
16778,How could you not love it ?,information seeking
16785,"Up until like a week ago I  ve never had a problem with it before, so I don  t understand what  s going on now.",problem discovery
16785,They need to get this fixed and fast!,problem discovery
16786,\nMy only qualm is not being able to easily save pictures.,problem discovery
16786,"That  s a minor issue, though.",information giving
16823,"I love Pinterest &amp; the apps are more user friendly than the website, BUT there needs to be a way to mark where you stopped browsing on your home feed.",information giving
16830,App never crashes anymore.,information giving
16832,It  s helping me to plan a bunch of different things I want to accomplish in the future and I am so excited for that!,information giving
16849,"There are quite a few pins that you click on and it will only pull up a picture or take you to a completely different page, but other than that, when you find those pages that take you right where you need to be, there  s a world of wonders out there!!",information giving
16856,"Like any other App it might have its moments, but all in all it  s fantastic!",information giving
16859,So glad they made this into an app!,information giving
16887,Why did you change Pinterest with the last update?,information seeking
16887,Why do you change things that were not broken?,information seeking
16903,I have made many recipes and DIY projects.,information giving
16923,"It has given me ideas in on how to renovate my kitchen, teach algebra to my kids, build a mud room, etc.",information giving
16933,"Great site,  need to improve stability.",information giving
16934,There is anything and everything that you could ever want or think of on this one site!!,information giving
16936,I love that you can pin without having to click through a million different things.,information giving
16938,No crashes.,information giving
16939,Now that the app is better I need an app for more time in the day.,information giving
16945,"I almost never have any issues with it except sometimes the notifications won  t refresh or sometimes the notifications take days to show up ,",problem discovery
16951,"I think it  s cool you can swipe through apps, but I did like the feature when you could swipe back to the previous page ( which you can  t do anymore).",information giving
16963,"Great ideas, like minded people, but the organization for my brain is the best!",information giving
16973,There have been times when the pins take a long time to load but overall it  s a great app and I recommend it to anyone.,information giving
16989,"Ever since the iOS 7 update, the app crashes whenever I try to look at my notifications.",problem discovery
16990,Best app/site ever lots of information and you can find everything you need!,information giving
16996,"I  ve never had any problems, always works well.",information giving
16997,Love it and the new easier way to pin by just holding down the item!,information giving
17003,And what happened to being able to pin a photo to my fb wall?,information seeking
17019,I love the app but it crashes only 5 minuets into searching and looking on it.,problem discovery
17020,"It  s easy, works well, and is a million times more organized than I know how to be.",information giving
17022,"I  m on it all the time, and love how you can organize your boards.",information giving
17029,I never have problems with crashing.,information giving
17042,Love Pinterest but the app crashes from time to time.,problem discovery
17054,"It  s easy to use, and you can find anything you need with just a little searching and effort.",information giving
17065,Love Pinterest but will just crash when I try too look at pin notices.,problem discovery
17070,The only problem is I spend too much time on it!!!,problem discovery
17076,Only problems I have are there  s no multiple upload option.,problem discovery
17079,Would be nice to easily move pins if pinned mistakingly to wrong bored.,feature request
17082,Old way was fine.,information giving
17098,Still could use a few minor tweaks but overall very good!,information giving
17110,Please restore it back the way it was.,information giving
17121,"Brynnmlj ,  Every time I open my feed, it crashes same with my profile!",problem discovery
17121,They need to make some fixes.,problem discovery
17142,Why can you drag and drop whole boards but not the pins within a board?,information seeking
17144,Recently many updates including the ability to swipe to pin as well as sending pins to another user have added such great quality to the app.,information giving
17157,:p\n\nI highly recommend this app.,information giving
17159,Notifications are broken and can  t access sent pins.,problem discovery
17166,I may be slightly addicted to it.,information giving
17173,"I don  t like how you have to comment on them now, how i have to scroll through all my boards to get to one and I really hate how you cant have more than one board open at a time with the x  s in the corner.",problem discovery
17173,The bottom just doesn  t work for me.,problem discovery
17174,"This is my favorite app in the world but all of a sudden it starting to crash again and it is really annoying, PLEASE FIX THIS!!!!!!!!!",problem discovery
17180,"Great way to pass the time when u need good ideas ,",information giving
17181,Once you start you can  t stop!,information giving
17185,I love looking at the crisp beautiful images &amp; great ideas that are easy to categorize.,information giving
17190,"The only thing I hate is the bug that shut it  s down, usually when I inadvertently have too many windows open.",problem discovery
17192,"I  m addicted, everyone should have a Pinterest!!!!",information giving
17217,"So far so good, haven  t had any problems with it.",information giving
17220,Sure would be nice if the app didn  t crash so often while I  m pinning or just freezes.,problem discovery
17224,More updates need to be included with this app in order to keep it moving.,information giving
17225,"Which one gets you to the list of categories: the home, magnifying glass, plus sign, or person?",information seeking
17240,"If you   like   a pin, you should not be listed as following them.",information giving
17244,Fantastic ideas and the recipes are awesome.,information giving
17249,Now it will not load new pins from people I follow and if I click to view people I follow then it crashes and closes the app.,problem discovery
17258,Love this app but it crashes too much!!,problem discovery
17259,A pretty good representation of the website but took a while to figure out how to save a photo to the camera roll.,information giving
17259,The app still crashes a lot and will often lose the page I was on if I switch to another app for a moment   which is really annoying.,problem discovery
17273,"Not a fan of the new layout, and the app still crashes, even on the most recent iOS platform.",problem discovery
17280,"Whenever I need an idea for anything, I can find a ton here!",information giving
17291,I receive a lot of pins and its frustrating that the pins show up small I think it would be cool if it comes up like the pins do when we are pinning.,feature request
17298,Having the pins on the left needs to be moved back to the middle.,feature request
17301,"I do wish, with all the new updates, they made a slide show option because sometimes I just want to flip through my pins(instead of having to click on each one, one at a time).",information giving
17312,"I RECOMMEND it to every wedding planner, fashionista, technology mogul, DIY fanatic, food craver, comedic lover, and many more.",information giving
17342,"Highly recommend it ,",information giving
17347,Don  t try to fix something that doesn  t need fixing?,problem discovery
17347,"Reverse, please!!!",problem discovery
17370,I don  t even need any other apps.,information giving
17370,How did I ever live without Pinterest?,information giving
17374,Only thing I wish it would do would allow me to print from my iPad easily.,feature request
17389,The only complaint I have is that it crashes at random times.,problem discovery
17394,"Though It crashes after a couples minutes on my ipod ,",problem discovery
17399,I just miss the you could save the photos in your iPhone but other than that I  m in love with this app!!!,feature request
17411,Gives me lots of ideas from tatoos to home decor to building or just make my life easier &amp; more fun!,information giving
17414,"I use it all the time and I love how it rarely crashes ,",information giving
17424,"Very well put together but after using for a little bit on my iPhone, the app crashes.",problem discovery
17424,When using it on my iPad it crashes and my iPad just shuts off then restarts it  s self.,problem discovery
17429,"You don  t have to search and search the stuff that interests on the web, its all here, you can also add information you others to see.",information giving
17431,"I also liked that choosing the board did not close my new pin, not allowing me to make any additional changes to the wording if the pin.",information giving
17436,"\nOne more thing, a lot of other people and I really liked the alphabet scroll bar for the boards, so it would be nice if you could bring that back with your next bug fix.",information giving
17442,My only complaint would be occasional crashes.,problem discovery
17449,Please fix the bugs!,problem discovery
17451,"I LOVE the update, but I can  t enjoy it because it still crashes A LOT!",problem discovery
17460,This app crashes at least twice a day and now is not fully loading the activity my pins are getting.,problem discovery
17463,I wish I could have the last version back.,feature request
17463,"I don  t like the pull up menu, please fix!!",problem discovery
17466,Please fix it!,problem discovery
17467,Please fix ur problem!,problem discovery
17468,Please fix it.,problem discovery
17470,Please fix this!,problem discovery
17473,What happened to my notifications?,information seeking
17473,"They are only showing the brand new ones, problem is sometimes I don  t get through them all and then I come back...now they are gone!",problem discovery
17474,Please please fix this!!!,problem discovery
17475,"What happened to the related pins"" that you got at the bottom of a pin?""",information seeking
17477,I hate that you can no longer see all the other items people pinned when you click on a specific pin.,information giving
17477,That was what made this so much fun...the unlimited exploring.,information giving
17477,Please fix it.,problem discovery
17479,"All my past notifications are gone (I liked being able to look through the past ones) and I can  t access related pins, which was really helpful in narrowing down my search results.",information giving
17479,Please fix bigs.,problem discovery
17481,\nThat  s how I found most of pins and now it  s gone?!!!!?,information giving
17482,Please fix this.,problem discovery
17484,Thank you for putting the time bar back and it has been crashing for me less thus far.,information giving
17485,There are so many times that I  m on Pinterest when I definitely need to be doing other things.,information giving
17489,"I can barely go on there for a minute with out it crashing ,",problem discovery
17490,If you have numerous boards you now have to click to make the keyboard go away if you change the caption or you can  t scroll to the bottom of your board list because the keyboard blocks it.,information giving
17490,Why do you now have to reach across the screen to obtain your list of boards?,information seeking
17490,Why can you no longer see the number of followers you have on each board?,information seeking
17490,Why does your total number of boards no longer show on your main page?,information seeking
17490,If was not broken it  should not have been fixed.,information giving
17492,Please fix it.,problem discovery
17493,Can  t stop pinning!!!,information giving
17494,"I hate the new layout, the menu bar at the bottom, the way I can  t just tap outside of a box to close it, how the close x"" has switched sides with the ""pin it"" button.""",problem discovery
17494,\nThe one positive: it hasn  t crashed on me since the update.,information giving
17495,"I use Pinterest a lot, and version 3.3 still has the same issue as the last couple of updates.",problem discovery
17495,Crashes constantly and will occasionally crash my iPad 3.,problem discovery
17495,It needs to be fixed not have useless things added on like a map option.,problem discovery
17496,"What was the point of this last update, to make the app as difficult as possible to use?",information seeking
17497,I don  t like that you can  t choose board cover with new update.,information giving
17498,It provides an access to ideas for just about any and everything!!!,information giving
17499,"Great app, would be nice if you could change tags on mobile version.",information giving
17503,"can  t figure out how to change a board cover after the update ,",information seeking
17507,I doubt they even posted them.,information giving
17507,Obviously Pinterest is having spam issues.,problem discovery
17507,Please clear them up.,information giving
17510,"Every since I updated to iOS7, this app crashes my whole iPad.",problem discovery
17510,Please fix because I don  t like using Pinterest on a browser.,problem discovery
17517,Please fix this.,problem discovery
17517,Please fix it.,problem discovery
17522,How do you change the board cover?,information seeking
17523,"However, you guys forgot to add the follow count for individual boards.",problem discovery
17530,"It crashes about five times a day, when it IS working it is awesome.",problem discovery
17533,Hopefully the crashing has been fixed when there are a few open pages.,information giving
17533,"\n\nAlso, why did you remove the number of pins we have per board?",information seeking
17536,Please pay attention the the negative feedback.,information giving
17537,So what happened to the option of saving photos from Pinterest directly to the camera roll on iPads?,information seeking
17538,Totally counterintuitive and just makes things really difficult.,information giving
17540,"It is not user friendly to navigate, and there is an issue where I can  t pin something because the pin button is out of reach.",information giving
17545,Now I can  t email pins and upgrade is sluggish.,information giving
17552,Please put it back!,information giving
17552,And please add tags bc the search feature becomes useless when my description just says cute or adorable and I have to search my entire board to find something.,feature request
17565,"About half of attempted re pins fail, the hide &amp; seek bottom dock is a real pain to use, and it much, much harder to navigate in general than the older version.",problem discovery
